,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
384,2,253,386
385,2,250,387
386,2,254,388
387,2,255,389
388,2,260,390
389,2,259,391
390,2,258,392
391,2,262,393
392,2,265,394
393,2,263,395
394,2,263,396
395,2,267,397
396,2,261,398
397,2,266,399
398,2,263,400
399,2,267,401
400,2,258,402
401,2,263,403
402,2,262,404
403,2,273,405
404,2,275,406
405,2,269,407
406,2,273,408
407,2,268,409
408,2,274,410
409,2,271,411
410,2,281,412
411,2,284,413
412,2,284,414
413,2,283,415
414,2,278,416
415,2,279,417
416,2,290,418
417,2,285,419
418,2,293,420
419,2,281,421
420,2,291,422
421,2,286,423
422,2,288,424
423,2,297,425
424,2,289,426
425,2,283,427
426,2,291,428
427,2,291,429
428,2,286,430
429,2,290,431
430,2,290,432
431,2,308,433
432,2,289,434
433,2,296,435
434,2,292,436
435,2,297,437
436,2,295,438
437,2,303,439
438,2,308,440
439,2,305,441
440,2,310,442
441,2,306,443
442,2,307,444
443,2,309,445
444,2,302,446
445,2,309,447
446,2,314,448
447,2,309,449
448,2,305,450
449,2,313,451
450,2,314,452
451,2,312,453
452,2,318,454
453,2,315,455
454,2,313,456
455,2,319,457
456,2,317,458
457,2,315,459
458,2,320,460
459,2,317,461
460,2,328,462
461,2,317,463
462,2,324,464
463,2,324,465
464,2,330,466
465,2,336,467
466,2,330,468
467,2,322,469
468,2,334,470
469,2,328,471
470,2,333,472
471,2,334,473
472,2,328,474
473,2,337,475
474,2,336,476
475,2,342,477
476,2,338,478
477,2,335,479
478,2,339,480
479,2,343,481
480,2,341,482
481,2,344,483
482,2,343,484
483,2,353,485
484,2,350,486
485,2,355,487
486,2,352,488
487,2,346,489
488,2,348,490
489,2,348,491
490,2,350,492
491,2,354,493
492,2,357,494
493,2,355,495
494,2,350,496
495,2,358,497
496,2,352,498
497,2,357,499
